iteration,cos_a
20500.0,0.9762
20600.0,0.9763
20700.0,0.9764
20800.0,0.9765
20900.0,0.9766
21000.0,0.9766
21100.0,0.9767
21200.0,0.9768
21300.0,0.9769
21400.0,0.977
21500.0,0.9772
21600.0,0.9773
21700.0,0.9773
21800.0,0.9775
21900.0,0.9776
22000.0,0.9777
22100.0,0.9779
22200.0,0.978
22300.0,0.978
22400.0,0.9781
22500.0,0.9782
22600.0,0.9783
22700.0,0.9784
22800.0,0.9785
22900.0,0.9786
23000.0,0.9787
23100.0,0.9788
23200.0,0.9789
23300.0,0.979
23400.0,0.9791
23500.0,0.9792
23600.0,0.9792
23700.0,0.9793
23800.0,0.9794
23900.0,0.9795
24000.0,0.9796
24100.0,0.9797
24200.0,0.9798
24300.0,0.9799
24400.0,0.9799
24500.0,0.98
24600.0,0.9801
24700.0,0.9802
24800.0,0.9802
24900.0,0.9803
25000.0,0.9804
25100.0,0.9805
25200.0,0.9806
25300.0,0.9806
25400.0,0.9807
25500.0,0.9807
25600.0,0.9808
25700.0,0.9809
25800.0,0.981
25900.0,0.981
26000.0,0.9811
26100.0,0.9811
26200.0,0.9812
26300.0,0.9812
26400.0,0.9813
26500.0,0.9814
26600.0,0.9814
26700.0,0.9815
26800.0,0.9815
26900.0,0.9816
27000.0,0.9817
27100.0,0.9817
27200.0,0.9818
27300.0,0.9818
27400.0,0.9819
27500.0,0.982
27600.0,0.982
27700.0,0.982
27800.0,0.9821
27900.0,0.9822
28000.0,0.9822
28100.0,0.9823
28200.0,0.9824
28300.0,0.9824
28400.0,0.9825
28500.0,0.9825
28600.0,0.9826
28700.0,0.9827
28800.0,0.9828
28900.0,0.9828
29000.0,0.9829
29100.0,0.983
29200.0,0.983
29300.0,0.9831
29400.0,0.9831
29500.0,0.9832
29600.0,0.9833
29700.0,0.9834
29800.0,0.9835
29900.0,0.9835
30000.0,0.9836
30100.0,0.9836
30200.0,0.9837
30300.0,0.9837
30400.0,0.9838
30500.0,0.9838
30600.0,0.9839
30700.0,0.9839
30800.0,0.984
30900.0,0.9841
31000.0,0.9841
31100.0,0.9841
31200.0,0.9842
31300.0,0.9842
31400.0,0.9843
31500.0,0.9844
31600.0,0.9844
31700.0,0.9844
31800.0,0.9845
31900.0,0.9845
32000.0,0.9845
32100.0,0.9846
32200.0,0.9847
32300.0,0.9847
32400.0,0.9847
32500.0,0.9847
32600.0,0.9848
32700.0,0.9848
32800.0,0.9848
32900.0,0.9849
33000.0,0.985
33100.0,0.985
33200.0,0.985
33300.0,0.9851
33400.0,0.9851
33500.0,0.9852
33600.0,0.9852
33700.0,0.9853
33800.0,0.9853
33900.0,0.9853
34000.0,0.9853
34100.0,0.9854
34200.0,0.9854
34300.0,0.9855
34400.0,0.9855
34500.0,0.9856
34600.0,0.9856
34700.0,0.9856
34800.0,0.9857
34900.0,0.9857
35000.0,0.9858
35100.0,0.9858
35200.0,0.9858
35300.0,0.9859
35400.0,0.9859
35500.0,0.9859
35600.0,0.986
35700.0,0.986
35800.0,0.986
35900.0,0.9861
36000.0,0.9861
36100.0,0.9861
36200.0,0.9861
36300.0,0.9862
36400.0,0.9862
36500.0,0.9863
36600.0,0.9863
36700.0,0.9863
36800.0,0.9864
36900.0,0.9864
37000.0,0.9864
37100.0,0.9864
37200.0,0.9864
37300.0,0.9865
37400.0,0.9865
37500.0,0.9866
37600.0,0.9866
37700.0,0.9867
37800.0,0.9867
37900.0,0.9868
38000.0,0.9868
38100.0,0.9869
38200.0,0.9869
38300.0,0.9869
38400.0,0.987
38500.0,0.987
38600.0,0.987
38700.0,0.9871
38800.0,0.9871
38900.0,0.9871
39000.0,0.9872
39100.0,0.9872
39200.0,0.9872
39300.0,0.9873
39400.0,0.9873
39500.0,0.9873
39600.0,0.9874
39700.0,0.9874
39800.0,0.9875
39900.0,0.9875
40000.0,0.9875
40100.0,0.9876
40200.0,0.9876
40300.0,0.9876
40400.0,0.9877
40500.0,0.9877
40600.0,0.9877
40700.0,0.9877
40800.0,0.9877
40900.0,0.9878
41000.0,0.9878
41100.0,0.9879
41200.0,0.9879
41300.0,0.9879
41400.0,0.9879
41500.0,0.9879
41600.0,0.988
41700.0,0.988
41800.0,0.988
41900.0,0.988
42000.0,0.9881
42100.0,0.9881
42200.0,0.9881
42300.0,0.9881
42400.0,0.9881
42500.0,0.9882
42600.0,0.9882
42700.0,0.9882
42800.0,0.9882
42900.0,0.9883
43000.0,0.9883
43100.0,0.9883
43200.0,0.9883
43300.0,0.9884
43400.0,0.9884
43500.0,0.9884
43600.0,0.9885
43700.0,0.9885
43800.0,0.9885
43900.0,0.9885
44000.0,0.9885
44100.0,0.9885
44200.0,0.9886
44300.0,0.9886
44400.0,0.9886
44500.0,0.9887
44600.0,0.9887
44700.0,0.9887
44800.0,0.9887
44900.0,0.9887
45000.0,0.9888
45100.0,0.9888
45200.0,0.9888
45300.0,0.9888
45400.0,0.9888
45500.0,0.9889
45600.0,0.9889
45700.0,0.9889
45800.0,0.9889
45900.0,0.989
46000.0,0.989
46100.0,0.989
46200.0,0.989
46300.0,0.989
46400.0,0.989
46500.0,0.9891
46600.0,0.9891
46700.0,0.9891
46800.0,0.9892
